Date,Max_temp_f,Avg_temp_f,Min_temp_f,Max_dew,Avg_dew,Min_dew,Max_humidity%,Avg_humidity%,Min_humidity%,Max_windspeed_mph,Avg_windspeed_mph,Min_windspeed_mph,Max_pressure,Avg_pressure,Min_pressure,Precipitation
1/1/18,3,-2.7,-7,-9,-12.5,-16,76,63.4,55,13,10.5,7,30,30,30,0
1/2/18,7,-0.8,-9,-1,-8.8,-15,79,69.4,57,17,11.6,7,30,29.8,29.4,0
1/3/18,18,14.2,8,11,5.3,-2,81,68,59,17,12.6,9,29.5,29.4,29.4,0
1/4/18,13,6.2,2,-2,-4.1,-6,73,63.1,49,15,11.5,5,29.6,29.6,29.5,0
1/5/18,11,5.4,0,-4,-5.6,-7,76,61.5,47,20,10.5,6,29.8,29.7,29.6,0
1/6/18,16,7.6,0,-1,-4.8,-8,72,58.2,39,9,6.5,0,29.9,29.9,29.7,0
1/7/18,33,25.3,9,31,17.4,-3,92,72.4,56,18,14.7,9,29.7,29.4,29.2,0
1/8/18,36,33.9,31,33,30.1,28,96,86.3,76,17,12.5,7,29.5,29.4,29.2,0.03
1/9/18,34,30.1,28,29,28.3,27,100,92.7,82,10,6.6,3,29.6,29.6,29.4,0
1/10/18,56,44.9,32,52,43.6,30,100,95.3,84,24,15.5,7,29.5,29.2,29.1,0
1/11/18,60,52.1,24,58,49.8,18,100,91.9,77,25,16.9,9,29.2,29.1,29,0.01
1/12/18,25,21.6,16,18,13.7,2,81,71.9,54,29,20.2,12,29.7,29.5,29.2,0.14
1/13/18,17,12.3,8,2,-2.2,-7,67,53.3,34,24,10.6,0,30,29.9,29.7,0
1/14/18,22,15.7,7,15,6.5,-2,88,68.8,40,16,9.7,0,30,29.8,29.6,0
1/15/18,24,16.9,9,19,12.3,4,89,82.5,77,18,12.5,7,29.7,29.6,29.5,0.02
1/16/18,25,14.4,6,18,8.3,2,87,77.2,60,15,10.9,7,29.9,29.8,29.7,0.01
1/17/18,20,14.8,6,10,7.3,2,84,72.8,62,22,12.3,5,29.9,29.8,29.5,0
1/18/18,33,25.6,17,22,15.5,10,74,65.9,54,20,15.3,10,29.5,29.4,29.3,0
1/19/18,40,34.8,28,29,23.8,19,73,64.5,54,22,16,10,29.3,29.2,29.1,0
1/20/18,47,40.4,33,37,32.2,27,86,73.3,59,15,9.2,5,29.3,29.3,29.1,0
1/21/18,48,42.8,39,48,41.7,36,100,96.3,86,10,5,0,29.3,29.3,29.2,0
1/22/18,55,48.6,37,51,46.1,32,100,91.5,73,29,11.8,3,29.1,28.9,28.8,0.4
1/23/18,37,32.3,29,34,27.6,22,100,83.3,72,16,11.2,5,29.5,29.1,28.8,0.29
1/24/18,30,29.1,28,24,22.4,20,81,76,69,10,6.4,0,29.7,29.6,29.5,0.01
1/25/18,44,35.5,26,34,28.2,21,84,75,60,17,9,6,29.7,29.6,29.5,0
1/26/18,52,46.1,38,34,31.8,30,76,58.8,43,24,17.8,9,29.5,29.4,29.3,0
1/27/18,51,45.5,37,39,30,21,69,56,32,21,12.3,6,29.6,29.4,29.3,0
1/28/18,41,34.9,31,32,27.5,24,85,74.7,67,16,9.2,0,29.7,29.6,29.6,0
1/29/18,31,25.1,18,24,15.8,9,81,68,58,20,14,7,29.8,29.7,29.7,0
1/30/18,31,24.7,16,18,12.7,10,77,61.4,47,20,9.7,0,29.8,29.6,29.3,0
1/31/18,43,37.6,32,30,24.2,18,70,58.7,49,24,14.3,7,29.3,29.1,29,0
2/1/18,36,22.5,9,25,6.8,-7,72,52,35,24,15.3,8,29.7,29.4,29.1,0
2/2/18,22,13.9,5,4,-3.6,-7,61,46.5,35,14,10.8,9,29.9,29.8,29.6,0
2/3/18,41,31.2,22,30,18.1,7,96,61.7,33,21,13.6,8,29.6,29.3,29.1,0
2/4/18,35,20.7,7,30,14.9,-4,89,78.7,58,22,15.8,7,29.6,29.3,29.1,0.01
2/5/18,12,8.4,-1,8,1.9,-8,88,75.3,56,10,7.5,5,29.6,29.6,29.5,0.01
2/6/18,21,16.3,6,16,8.8,3,88,73.2,55,9,3.9,0,29.8,29.7,29.6,0.15
2/7/18,20,17.2,13,17,11.2,4,92,78,64,15,9.4,3,29.8,29.6,29.6,0.05
2/8/18,22,17,9,19,11.1,4,92,78,62,15,7.3,5,29.8,29.7,29.6,0
2/9/18,29,25.9,22,26,22.7,17,96,87.8,75,17,10.3,5,29.6,29.5,29.4,0.34
2/10/18,25,21.2,17,22,16,10,91,80.5,71,15,10.8,3,29.6,29.5,29.4,0.14
2/11/18,24,21.1,13,22,16.4,4,96,82.4,64,15,10.2,3,29.7,29.4,29.3,0.19
2/12/18,28,18.1,8,15,7.5,3,80,64.8,39,9,6.3,0,30.1,30,29.7,0
2/13/18,35,26.8,18,24,16.1,9,84,65.9,34,13,7.2,5,30.1,29.8,29.6,0
2/14/18,45,38.1,28,41,35.4,25,100,90.5,68,15,9.1,6,29.6,29.3,29.2,0
2/15/18,47,42.1,39,45,40.7,33,100,95.2,71,18,6.5,0,29.2,29.1,29,0
2/16/18,36,32.1,20,34,21.2,7,93,65.5,38,21,12.3,5,29.6,29.5,29.2,0
2/17/18,35,28.8,17,32,23.4,9,96,80.5,62,17,9.6,3,29.6,29.4,29.3,0
2/18/18,41,31.3,20,31,25.6,19,96,80,67,18,11.1,0,29.6,29.5,29.2,0.09
2/19/18,60,49.4,39,58,47.7,33,100,94.2,77,20,10.8,0,29.2,29.2,29.1,0
2/20/18,66,53.9,34,61,52.5,33,100,95.1,84,23,12.9,3,29.5,29.3,29.1,1.94
2/21/18,34,31.3,29,32,24.2,20,92,75.4,61,17,13,8,29.9,29.8,29.5,1.22
2/22/18,41,37.1,32,38,30.8,25,93,78.1,68,20,13.7,9,29.9,29.8,29.6,0
2/23/18,45,40,35,43,37,30,100,89.3,79,17,10.6,5,29.6,29.5,29.4,0.14
2/24/18,50,39.6,35,49,35.5,29,97,85.6,76,20,13.8,7,29.6,29.3,28.8,0
2/25/18,51,40.1,35,49,28,22,92,63.7,42,30,19.4,8,29.4,29.2,28.8,0.11
2/26/18,54,43.5,31,34,28.5,25,82,58.1,35,17,9,0,29.6,29.5,29.5,0
2/27/18,61,51.9,42,38,33.3,27,60,49.8,38,22,13.5,8,29.6,29.4,29.2,0
2/28/18,60,47.9,38,48,39.7,36,93,74.3,54,15,11,8,29.2,29.2,29.1,0
3/1/18,43,38.9,34,39,34.2,29,97,83.9,62,22,12.4,0,29.6,29.2,29.1,0
3/2/18,46,37.5,31,29,21.3,13,85,55.9,28,12,6.9,0,29.8,29.7,29.6,0.32
3/3/18,43,38,35,29,22.9,15,76,56.1,32,13,9.6,5,29.9,29.8,29.8,0
3/4/18,46,39.6,32,26,20.8,15,73,48.6,31,17,11.7,7,29.8,29.7,29.6,0
3/5/18,42,36,34,33,24.9,17,96,66.7,40,20,14.9,10,29.6,29.3,29.1,0
3/6/18,41,36,34,35,32.9,30,100,89.1,70,20,9.4,5,29.1,29,29,0.08
3/7/18,34,30.4,26,30,19.6,12,89,65.8,47,21,14.7,10,29.4,29.3,29.1,0.04
3/8/18,35,28.9,24,18,15.4,12,69,57.5,46,16,10.5,6,29.4,29.3,29.3,0
3/9/18,38,30.9,23,21,16.8,14,75,57.6,38,13,6.6,0,29.4,29.3,29.3,0
3/10/18,39,33.8,26,25,18.2,12,78,55.6,34,14,6.3,0,29.5,29.4,29.4,0
3/11/18,39,35,31,27,22.2,17,82,61,44,16,8.8,0,29.6,29.5,29.5,0
3/12/18,45,37.3,30,30,24.5,20,79,61,37,18,9.6,0,29.5,29.4,29.4,0
3/13/18,36,30.2,25,27,21.1,11,92,70.3,44,20,12.4,6,29.5,29.5,29.4,0
3/14/18,47,34.9,22,28,18,12,69,52.3,33,21,10.5,5,29.5,29.3,29.1,0
3/15/18,47,37.4,31,28,25.3,23,76,62.8,39,17,10.4,0,29.4,29.2,29.1,0
3/16/18,36,32.7,30,27,22.1,20,78,65.2,57,16,12.8,8,29.6,29.5,29.4,0
3/17/18,44,37,32,30,23.6,16,89,60.9,35,16,9.3,0,29.4,29.3,29.3,0.14
3/18/18,56,42.7,29,28,23.2,20,82,49.8,26,9,4,0,29.4,29.3,29.3,0
3/19/18,46,39.9,35,29,25.9,22,73,58.3,42,28,16.6,3,29.3,29.2,29.2,0
3/20/18,36,33,29,27,22,16,75,64.5,54,24,18.8,12,29.3,29.2,29.2,0
3/21/18,39,34.3,31,25,20.4,13,70,57.7,34,18,13.2,5,29.6,29.4,29.2,0
3/22/18,46,36.6,26,27,19.6,11,81,54.2,25,12,7.1,0,29.7,29.6,29.6,0
3/23/18,41,36.3,32,28,22.7,18,76,58.6,41,16,10.1,0,29.7,29.7,29.6,0
3/24/18,40,37.2,34,27,22,18,70,54.5,46,23,18.2,10,29.6,29.5,29.5,0
3/25/18,41,34.8,29,24,16.5,13,55,47.8,35,20,14.7,10,29.7,29.7,29.6,0
3/26/18,55,44.4,32,46,30.8,18,93,60.7,37,18,11.5,8,29.6,29.5,29.3,0
3/27/18,52,49.6,45,52,46.1,37,100,88.3,68,14,10,0,29.4,29.3,29.3,0.39
3/28/18,52,45.1,39,41,37.1,34,86,73.9,57,10,5.8,0,29.4,29.3,29.2,0.04
3/29/18,49,43.9,37,43,38,31,93,80.2,66,17,9.2,0,29.4,29.3,29.2,0.08
3/30/18,48,40.7,35,32,27.7,24,86,61.8,44,15,7.7,0,29.6,29.5,29.4,0
3/31/18,58,44.7,35,42,33.2,22,83,64.9,51,24,15.3,6,29.5,29.3,29.1,0
4/1/18,36,31.8,27,20,12.7,8,58,46,33,13,8.7,5,29.6,29.5,29.5,0.05
4/2/18,45,35.8,24,32,20.7,12,72,56.5,29,16,7.4,0,29.5,29.4,29.2,0
4/3/18,42,39.3,35,40,37.2,31,100,92.9,65,16,11.9,6,29.2,29,28.8,0
4/4/18,35,31.3,27,32,21,16,89,66.9,52,24,17.2,8,29.6,29.3,29,0.07
4/5/18,41,33.9,24,34,25.5,10,100,74.7,34,12,7.6,3,29.6,29.4,29.3,0
4/6/18,38,34.3,28,34,22.7,7,100,66.5,32,24,12.1,0,29.4,29.3,29.2,0.09
4/7/18,38,29.5,21,19,9.9,4,64,45,29,15,8.5,0,29.5,29.4,29.4,0
4/8/18,39,32.5,24,28,15.2,5,85,51.3,26,14,6.8,0,29.5,29.4,29.4,0
4/9/18,40,34.3,31,31,30,28,96,84.3,70,13,6.3,0,29.6,29.5,29.4,0.03
4/10/18,45,38.5,30,30,23.8,20,92,58.5,40,14,8.2,0,29.6,29.6,29.4,0
4/11/18,66,50.3,39,45,34.7,29,71,56.6,34,15,10.2,5,29.4,29.3,29.1,0
4/12/18,74,58.4,45,46,42.6,38,80,58.2,33,22,13.6,5,29.1,29,29,0.02
4/13/18,52,44.9,41,43,39.8,38,93,82.5,69,16,11.7,6,29.2,29.1,29,0
4/14/18,41,39.4,37,40,37.8,35,97,94.4,93,28,20.7,9,29.2,29.1,29.1,0.29
4/15/18,38,35.8,31,36,33.8,27,100,93,85,22,14.1,6,29.1,29.1,29,0.47
4/16/18,35,30.8,28,25,24.3,23,88,77.1,61,21,15.1,10,29.3,29.2,29.1,0.33
4/17/18,43,35.3,30,24,22.3,20,72,59.5,43,21,11.1,0,29.3,29.3,29.2,0
4/18/18,37,34.8,32,33,29.2,25,100,80.7,62,20,11.6,3,29.3,29.2,29.1,0
4/19/18,53,41.6,33,34,28.8,19,100,66.2,26,14,10.4,3,29.8,29.6,29.3,0.1
4/20/18,59,47.7,35,26,19.4,8,67,36.7,16,15,5,0,29.9,29.8,29.8,0
4/21/18,53,47.1,42,27,21.1,17,43,36,30,10,5.3,0,29.8,29.7,29.7,0
4/22/18,61,51.5,44,31,25.3,18,54,37.3,24,17,11,3,29.7,29.6,29.6,0
4/23/18,62,52.5,44,35,30.1,26,60,43.2,31,16,9.4,0,29.6,29.5,29.4,0
4/24/18,63,55.1,50,49,43.9,36,86,66.3,54,16,7.3,3,29.4,29.4,29.3,0
4/25/18,53,47,42,43,32.4,29,83,57.8,43,20,13.5,0,29.4,29.4,29.3,0
4/26/18,65,52.3,36,32,29,26,79,44.9,25,10,4.1,0,29.3,29.3,29.1,0
4/27/18,55,48.3,41,37,32.6,26,82,57,38,21,14.2,7,29.2,29.1,29.1,0
4/28/18,50,43.7,38,34,26.3,17,79,52.8,31,21,13.2,5,29.6,29.4,29.2,0.03
4/29/18,56,45.8,34,29,19.3,6,70,39.8,15,10,6.7,3,29.7,29.6,29.6,0
4/30/18,80,62.6,42,31,23.1,11,40,23.6,13,20,12.5,5,29.6,29.5,29.3,0
5/1/18,85,73.3,58,50,42.3,31,42,33.3,25,24,15.6,8,29.3,29.3,29.2,0
5/2/18,87,74.6,66,65,56.9,49,94,56.1,36,39,14.9,0,29.3,29.2,29.2,0
5/3/18,70,64.7,58,65,60.3,51,100,86,70,20,7.9,0,29.3,29.2,29.1,0.45
5/4/18,75,68.2,64,63,54.3,46,88,63.5,36,29,16.9,6,29.3,29.2,29,0
5/5/18,82,70.5,57,49,44.2,40,72,42.2,23,16,8.5,5,29.4,29.3,29.3,0
5/6/18,68,60.7,53,44,41.3,38,62,49.7,36,18,9.5,0,29.5,29.3,29.3,0
5/7/18,73,62.8,50,44,40,36,68,45.3,28,12,6.2,0,29.6,29.5,29.5,0
5/8/18,82,70.8,58,44,40.9,39,51,35.1,23,14,7.2,0,29.5,29.4,29.3,0
5/9/18,83,71.9,60,63,52.9,40,80,52.1,37,24,15.5,7,29.3,29.1,28.9,0
5/10/18,72,63.6,58,55,52.6,47,87,68.3,51,15,9.8,5,29.4,29.3,29.1,0.21
5/11/18,56,51.6,49,47,43.6,41,80,74.2,64,20,15,9,29.4,29.3,29.3,0.04
5/12/18,52,48.7,46,48,44.8,43,93,86.6,77,17,11.1,5,29.5,29.4,29.3,0.02
5/13/18,67,54.3,49,55,50.2,47,100,87,63,17,8.1,0,29.4,29.4,29.3,0
5/14/18,86,64,55,65,59.3,51,100,86.4,43,24,10.1,0,29.4,29.2,29.1,0.37
5/15/18,67,63,53,65,57.3,40,100,82.8,53,16,9.1,0,29.4,29.3,29.1,0.92
5/16/18,77,65.1,50,56,47.7,40,77,56,29,10,5.5,0,29.4,29.3,29.3,0
5/17/18,71,62.5,54,55,49.1,43,87,63.3,44,16,7.7,0,29.4,29.4,29.3,0
5/18/18,68,59.4,54,59,50.3,46,97,73.3,50,16,10.2,6,29.4,29.3,29.3,0
5/19/18,69,60.5,57,61,57.6,53,100,90.6,73,9,4.7,0,29.3,29.2,29.2,0
5/20/18,60,49.5,45,57,45.1,42,96,84.9,77,21,11.9,5,29.6,29.5,29.4,0.01
5/21/18,65,57.7,50,62,56.2,45,100,94.7,83,17,7,0,29.5,29.4,29.3,0.12
5/22/18,66,58.8,54,60,55.5,50,100,89.4,72,10,4.6,0,29.4,29.4,29.3,1.24
5/23/18,78,65.5,52,58,52.6,46,93,66.7,33,10,4.1,0,29.5,29.5,29.4,0
5/24/18,86,74.1,59,56,54.2,52,81,52.5,32,14,6.3,0,29.5,29.4,29.4,0
5/25/18,89,78.9,68,69,58.4,50,91,50.8,35,12,7.5,3,29.4,29.2,29.1,0
5/26/18,88,78.7,69,69,63.2,58,93,62.4,40,9,5.4,0,29.1,29.1,29.1,0.13
5/27/18,96,84.4,72,71,64.1,55,81,52.8,25,12,5,0,29.2,29.2,29.1,0
5/28/18,95,82.5,73,68,62.8,59,74,52.9,32,23,7.8,0,29.3,29.3,29.2,0
5/29/18,87,77.7,72,66,61.3,56,64,57.2,49,12,5.8,0,29.3,29.2,29.1,0
5/30/18,86,76.4,72,72,68.4,63,96,77,57,20,9,5,29.1,29,28.9,0
5/31/18,89,80.8,71,69,66.8,64,87,63.8,46,18,10.8,3,29.1,29,28.9,0.22
6/1/18,79,65.8,54,69,56.4,46,93,72.1,60,18,11.2,0,29.3,29.2,29.1,0
6/2/18,73,61.7,53,64,55.5,46,96,80.3,68,12,8.6,3,29.3,29.3,29.2,0
6/3/18,79,67.4,60,61,54.2,48,100,66.7,34,24,12.1,0,29.3,29.2,29.2,0.54
6/4/18,80,69.7,56,52,48.5,44,80,49.1,32,18,10.9,5,29.4,29.3,29.2,0
6/5/18,73,63.8,57,55,47.1,39,72,54.8,45,21,13.5,9,29.3,29.2,29.2,0
6/6/18,78,67.3,52,59,51.8,40,77,58.4,46,10,6.2,0,29.3,29.3,29.2,0.01
6/7/18,80,71.6,64,59,57.1,51,73,60.7,47,15,8.6,0,29.4,29.3,29.2,0.04
6/8/18,71,65.1,61,62,56.4,51,90,73.8,63,10,7.2,5,29.5,29.4,29.4,0
6/9/18,79,66,59,68,62.1,54,100,87.8,64,16,4.5,0,29.4,29.4,29.3,0.28
6/10/18,70,65.4,61,67,64.1,61,100,95.7,88,13,6.4,0,29.3,29.2,29.1,0
6/11/18,69,64.6,62,65,63.3,62,100,95.7,84,16,10.2,6,29.3,29.2,29.2,0.36
6/12/18,80,71.8,65,70,67.5,64,97,87,71,10,5.4,0,29.3,29.2,29.2,0.03
6/13/18,81,73.8,69,70,61.1,46,97,69.5,29,15,8.3,0,29.4,29.3,29.2,0
6/14/18,80,73.2,63,56,52.2,47,72,49.4,32,12,4.6,0,29.4,29.4,29.3,0
6/15/18,89,79.2,66,69,61.2,54,73,54.6,44,16,8.7,0,29.4,29.3,29.2,0
6/16/18,93,81.2,70,73,70.2,66,100,71.1,49,24,9.8,3,29.4,29.3,29.3,0.63
6/17/18,94,86.3,79,74,71.9,70,77,62.9,46,17,11.2,8,29.4,29.3,29.3,0
6/18/18,94,83.3,69,75,72,65,90,70.2,49,20,13.2,7,29.4,29.3,29.2,0
6/19/18,82,70.9,67,70,66.1,63,97,85.3,65,12,7,0,29.4,29.3,29.2,0.08
6/20/18,78,70.3,66,66,63.6,60,90,79.3,66,16,7.9,0,29.2,29.2,29.2,0.03
6/21/18,68,66.4,65,67,64.6,61,100,93.8,84,18,11.8,0,29.2,29.1,29.1,0.11
6/22/18,65,62.5,61,62,60.4,59,97,93,84,17,13.9,9,29.1,29.1,29.1,2.56
6/23/18,80,69.5,62,65,59.2,54,97,72.6,42,12,5.7,0,29.1,29.1,29,0.73
6/24/18,81,72.5,66,66,63,60,93,73.4,54,17,7.5,0,29.4,29.3,29.2,0
6/25/18,78,71.6,64,64,61.7,60,90,72,56,17,11.7,6,29.5,29.4,29.4,0
6/26/18,85,74.3,68,72,67.5,59,94,79.8,61,17,10.2,5,29.4,29.2,29.1,0
6/27/18,79,72.6,70,70,67,63,97,83.1,66,15,7.5,0,29.2,29.1,29.1,0
6/28/18,86,77.8,67,70,66.5,63,97,69.5,49,14,4.5,0,29.3,29.3,29.2,0
6/29/18,94,85.2,75,79,73.9,70,84,69.8,54,16,11.1,5,29.3,29.3,29.2,0
6/30/18,94,87.1,79,78,75.6,73,88,69.5,55,18,11.3,5,29.3,29.3,29.2,0
7/1/18,94,83.1,76,77,73.3,72,91,73.1,52,24,13.1,6,29.3,29.2,29.1,0
7/2/18,81,76.5,71,73,62,52,91,62.4,38,12,6.5,0,29.4,29.4,29.3,0
7/3/18,91,80.2,68,71,67.6,56,87,66.7,52,14,7.4,3,29.5,29.4,29.4,0
7/4/18,91,83.3,75,77,74.3,72,96,74.7,59,24,9.1,5,29.6,29.5,29.5,0
7/5/18,95,79,72,76,73,70,96,83.2,50,20,8.1,0,29.6,29.6,29.5,0.15
7/6/18,79,72.7,66,65,55.8,51,73,56,43,20,14.3,9,29.8,29.7,29.6,0.52
7/7/18,80,72.5,64,61,51.5,37,87,51.5,23,10,7,3,29.7,29.6,29.6,0
7/8/18,87,77,65,62,56,48,84,51.4,28,12,5.5,0,29.6,29.6,29.5,0
7/9/18,90,81,69,69,62.9,56,81,56.3,34,15,8.5,0,29.6,29.5,29.4,0
7/10/18,86,80.8,75,72,61.9,47,76,55,29,17,10.2,5,29.4,29.4,29.4,0
7/11/18,86,78.4,71,63,59.5,55,73,53,39,10,7.3,0,29.5,29.5,29.4,0
7/12/18,87,80.3,72,65,62.5,58,76,56,40,14,9,3,29.5,29.5,29.4,0
7/13/18,93,82.6,72,67,63.8,59,73,54.5,32,13,8.8,0,29.5,29.4,29.3,0
7/14/18,80,76.9,73,72,70.2,67,93,80.2,64,9,5.8,0,29.4,29.4,29.3,0.01
7/15/18,91,82.1,74,73,71.4,69,93,71.3,50,12,4.7,0,29.3,29.3,29.3,0.22
7/16/18,92,82,76,74,71.8,68,88,72.5,45,22,6.5,0,29.3,29.3,29.2,0
7/17/18,81,75.2,69,64,59.4,55,73,58.8,43,15,9.3,3,29.4,29.4,29.3,0.17
7/18/18,78,73.1,64,59,54,50,78,52.3,40,13,8.5,3,29.5,29.4,29.4,0
7/19/18,88,78.2,68,65,59.9,54,73,55,34,17,9.5,0,29.4,29.3,29.1,0
7/20/18,79,73.3,70,72,68,65,97,83.8,64,18,12.9,8,29.1,29,29,0.01
7/21/18,77,71.5,70,69,67.6,66,97,87.7,71,20,13.1,7,29.1,29.1,29,0.52
7/22/18,77,71.2,70,70,68.1,66,100,89.9,76,18,12.5,6,29.3,29.2,29.1,0.06
7/23/18,81,74.3,68,67,64.3,62,93,71.5,56,14,9.8,3,29.3,29.3,29.2,0.26
7/24/18,83,77,68,67,63.7,60,90,65.4,46,10,5,0,29.3,29.3,29.3,0
7/25/18,88,79.1,68,65,59.9,55,78,53.5,36,9,6.9,3,29.4,29.3,29.3,0
7/26/18,82,76,69,66,59.2,54,78,57.5,38,17,11.4,6,29.3,29.3,29.2,0
7/27/18,78,70.9,63,59,55.8,53,81,60.1,43,13,8.5,5,29.4,29.4,29.3,0
7/28/18,81,71.9,62,57,54.2,50,78,55.5,35,13,5.5,0,29.5,29.4,29.4,0
7/29/18,79,72.5,65,60,57.3,54,78,59.9,42,13,4.3,0,29.5,29.4,29.4,0
7/30/18,80,72.9,64,63,59.8,54,90,65.3,40,15,7.3,0,29.4,29.4,29.4,0
7/31/18,79,73.8,69,67,63.2,57,87,70.4,47,12,7.4,0,29.4,29.3,29.3,0
8/1/18,84,74.5,64,66,62.2,56,90,67.4,38,16,7.3,3,29.3,29.3,29.3,0.01
8/2/18,86,77.8,70,68,64.3,60,82,64.3,44,15,9.1,0,29.3,29.3,29.3,0.04
8/3/18,88,77.2,67,68,62.3,51,93,63.1,31,14,5.7,0,29.4,29.4,29.3,0
8/4/18,96,84.8,73,70,66,62,85,56.3,32,20,10,5,29.4,29.4,29.3,0
8/5/18,95,84,77,70,67.2,62,76,58.8,33,20,12.3,3,29.4,29.4,29.3,0
8/6/18,84,77.3,73,73,69.5,65,91,77.2,67,16,7.8,3,29.4,29.4,29.3,0.07
8/7/18,85,75.2,71,73,69.8,66,97,84.4,53,10,4.6,0,29.3,29.3,29.3,0.06
8/8/18,81,74.8,70,70,67.1,65,96,78,58,10,4.3,0,29.3,29.3,29.3,0.63
8/9/18,91,78.1,68,71,67,64,90,70.5,46,17,9.4,0,29.3,29.3,29.2,0
8/10/18,84,77.7,72,72,69.2,67,96,76.1,58,16,7.6,0,29.3,29.3,29.3,0.07
8/11/18,88,81.6,73,68,60.9,57,82,51,36,14,6.3,0,29.4,29.3,29.3,0
8/12/18,87,79.4,70,69,60.5,51,85,55.5,32,14,6.7,0,29.5,29.4,29.4,0
8/13/18,87,77.8,68,70,63,57,94,64,37,13,4.4,0,29.5,29.4,29.3,0
8/14/18,89,80.8,70,64,61.9,60,78,54.3,38,10,5.4,0,29.3,29.3,29.3,0
8/15/18,85,78.9,74,72,68.5,64,85,70.9,55,15,7.3,0,29.3,29.3,29.2,0
8/16/18,84,76.8,73,71,69.6,68,90,79.2,61,9,4.2,0,29.3,29.3,29.2,0.13
8/17/18,82,74.8,69,72,69,66,97,82.8,65,15,6.4,0,29.3,29.3,29.2,0.18
8/18/18,82,76.3,72,71,68.6,65,97,78.3,58,14,8.3,3,29.4,29.3,29.3,0.06
8/19/18,85,77.3,69,71,68,66,93,73.8,57,15,6.7,0,29.3,29.3,29.3,0
8/20/18,79,74.8,71,73,68.8,64,93,82.1,68,20,10.4,0,29.3,29.2,29.1,0
8/21/18,79,72.8,69,70,66.9,61,100,82.7,58,22,10.1,0,29.4,29.2,29.1,0.29
8/22/18,80,70.5,60,60,51.3,46,76,53.2,31,17,9.5,0,29.5,29.4,29.4,0.03
8/23/18,81,71.8,60,56,53.5,51,83,55.1,35,15,7.1,0,29.5,29.4,29.4,0
8/24/18,75,67.6,64,65,59.2,55,100,75.3,55,20,11.9,6,29.4,29.3,29.3,0
8/25/18,87,78,66,76,70.5,64,96,78.8,57,14,8.8,0,29.3,29.3,29.2,0
8/26/18,95,84.4,75,76,74.2,70,97,73.7,46,16,10,3,29.4,29.3,29.3,0
8/27/18,96,86,78,76,71.5,69,81,63.4,41,25,16.8,10,29.3,29.2,29.2,0
8/28/18,92,79.3,69,74,71,68,96,76.9,54,23,12,5,29.4,29.3,29.2,0
8/29/18,75,70.5,67,69,66.2,59,97,86.5,66,21,8.7,0,29.5,29.4,29.2,0
8/30/18,73,67.9,65,59,55.6,52,81,65.5,49,12,8,0,29.6,29.5,29.5,0.02
